Id,Prediction
1,0
2,0
3,0
4,1
5,0
6,0
7,0
8,1
9,1
10,0
11,1
12,1
13,1
14,0
15,1
16,1
17,0
18,1
19,1
20,0
21,0
22,0
23,1
24,0
25,1
26,0
27,1
28,1
29,0
30,0
31,1
32,0
33,0
34,1
35,0
36,1
37,1
38,0
39,0
40,1
41,1
42,0
43,0
44,0
45,0
46,0
47,0
48,1
49,1
50,0
51,1
52,1
53,0
54,0
55,0
56,1
57,1
58,1
59,0
60,1
61,1
62,1
63,1
64,0
65,0
66,1
67,1
68,1
69,0
70,0
71,1
72,1
73,1
74,0
75,1
76,0
77,1
78,0
79,0
80,0
81,0
82,1
83,0
84,0
85,0
86,1
87,0
88,0
89,0
90,0
91,1
92,0
93,1
94,1
95,0
96,0
97,0
98,0
99,1
100,1
101,0
102,1
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,1
111,1
112,1
113,0
114,1
115,0
116,0
117,0
118,1
119,0
120,0
121,0
122,1
123,0
124,0
125,1
126,0
127,1
128,0
129,1
130,0
131,0
132,0
133,0
134,1
135,0
136,0
137,1
138,1
139,1
140,1
141,1
142,1
143,1
144,1
145,0
146,1
147,1
148,1
149,1
150,0
151,0
152,1
153,0
154,0
155,1
156,0
157,1
158,0
159,1
160,1
161,1
162,0
163,0
164,1
165,1
166,1
167,1
168,1
169,1
170,1
171,0
172,0
173,0
174,1
175,1
176,0
177,1
178,0
179,0
180,1
181,0
182,1
183,0
184,1
185,0
186,0
187,0
188,0
189,1
190,0
191,1
192,0
193,1
194,0
195,1
196,1
197,1
198,1
199,0
200,0
201,0
202,0
203,1
204,1
205,0
206,1
207,0
208,0
209,1
210,0
211,0
212,1
213,0
214,0
215,1
216,1
217,1
218,1
219,1
220,1
221,0
222,0
223,0
224,0
225,1
226,0
227,0
228,1
229,0
230,0
231,0
232,0
233,1
234,0
235,0
236,0
237,1
238,1
239,0
240,1
241,1
242,1
243,1
244,1
245,1
246,1
247,1
248,0
249,0
250,1
251,0
252,1
253,1
254,1
255,0
256,1
257,1
258,0
259,1
260,1
261,0
262,1
263,1
264,0
265,0
266,1
267,1
268,1
269,0
270,1
271,0
272,1
273,0
274,1
275,0
276,1
277,1
278,0
279,0
